期号,开奖日期,红球,蓝球,红球号码1,红球号码2,红球号码3,红球号码4,红球号码5,红球号码6,蓝球号码1,总销售额,奖池余额
26001,2026-01-01,"02,06,11,12,13,33",15,02,06,11,12,13,33,15,"2,718,022,399","348,080,190"
26002,2026-01-04,"01,05,07,18,30,32",02,01,05,07,18,30,32,02,"2,717,326,577","377,330,734"
26003,2026-01-06,"05,06,09,21,28,30",16,05,06,09,21,28,30,16,"2,761,523,177","352,267,432"
26004,2026-01-08,"03,07,08,09,18,32",10,03,07,08,09,18,32,10,"2,782,271,788","361,167,416"
26005,2026-01-11,"01,20,22,27,30,33",10,01,20,22,27,30,33,10,"2,821,524,165","387,903,486"
26006,2026-01-13,"02,06,22,23,24,28",15,02,06,22,23,24,28,15,"2,880,241,083","352,228,044"
26007,2026-01-15,"09,13,19,27,29,30",01,09,13,19,27,29,30,01,"2,890,464,389","360,236,814"
26008,2026-01-18,"06,09,16,27,31,33",10,06,09,16,27,31,33,10,"2,921,931,052","388,652,642"
26009,2026-01-20,"03,06,13,19,23,25",10,03,06,13,19,23,25,10,"2,924,245,047","347,159,860"
26010,2026-01-22,"04,09,10,15,19,26",12,04,09,10,15,19,26,12,"2,865,932,466","358,486,254"
26011,2026-01-25,"02,03,04,20,31,32",04,02,03,04,20,31,32,04,"2,925,771,107","394,441,490"
26012,2026-01-27,"03,05,07,16,20,24",08,03,05,07,16,20,24,08,"2,925,358,915","358,422,924"
26013,2026-01-29,"04,09,12,13,16,20",01,04,09,12,13,16,20,01,"2,961,315,457","380,549,690"
26014,2026-02-01,"07,13,19,22,26,32",01,07,13,19,22,26,32,01,"2,876,368,081","386,492,580"
26015,2026-02-03,"07,10,13,22,27,31",12,07,10,13,22,27,31,12,"2,851,368,081","359,738,534"
26016,2026-02-05,"04,05,09,10,27,30",13,04,05,09,10,27,30,13,"2,811,368,081","364,669,398"
26017,2026-02-08,"01,03,05,18,29,32",04,01,03,05,18,29,32,04,"2,781,368,081","387,896,530"
26018,2026-02-10,"11,15,17,22,25,30",07,11,15,17,22,25,30,07,"2,751,368,081","365,733,450"
26019,2026-02-12,"07,08,16,17,18,30",01,07,08,16,17,18,30,01,"2,716,368,081","428,387,634"
26020,2026-02-24,"01,13,14,21,24,30",02,01,13,14,21,24,30,02,"2,712,273,374","381,989,060"
26021,2026-02-26,"03,13,25,26,30,31",04,03,13,25,26,30,31,04,"2,682,273,374","351,619,166"
26022,2026-03-01,"15,18,23,25,28,32",11,15,18,23,25,28,32,11,"2,652,273,374","380,507,698"
26023,2026-03-03,"01,03,08,10,23,29",06,01,03,08,10,23,29,06,"2,592,273,374","361,967,792"
26024,2026-03-05,"01,02,13,21,23,29",14,01,02,13,21,23,29,14,"2,588,926,159","370,443,834"
26025,2026-03-08,"02,03,15,20,23,24",10,02,03,15,20,23,24,10,"2,553,926,159","404,403,816"
26026,2026-03-10,"02,09,16,22,25,29",03,02,09,16,22,25,29,03,"2,518,926,159","377,828,982"
26027,2026-03-12,"02,13,17,18,25,26",13,02,13,17,18,25,26,13,"2,428,784,926","397,777,968"
26028,2026-03-15,"02,06,09,17,25,28",15,02,06,09,17,25,28,15,"2,403,784,926","425,241,582"
26029,2026-03-17,"06,19,22,23,28,31",05,06,19,22,23,28,31,05,"2,383,784,926","390,925,844"
26030,2026-03-19,"10,11,14,19,22,24",04,10,11,14,19,22,24,04,"2,358,784,926","401,991,268"
26031,2026-03-22,"03,10,12,13,18,33",08,03,10,12,13,18,33,08,"2,308,784,926","430,685,136"
26032,2026-03-24,"01,03,11,18,31,33",02,01,03,11,18,31,33,02,"2,278,784,926","392,702,390"
26033,2026-03-26,"03,06,13,21,28,29",06,03,06,13,21,28,29,06,"2,203,784,926","397,739,574"
26034,2026-03-29,"01,03,07,13,22,23",07,01,03,07,13,22,23,07,"2,138,784,926","425,726,210"
26035,2026-03-31,"02,06,12,24,25,32",02,02,06,12,24,25,32,02,"2,108,784,926","389,527,084"
26036,2026-04-02,"06,10,12,15,22,28",08,06,10,12,15,22,28,08,"2,063,784,926","398,552,206"
26037,2026-04-05,"11,22,27,29,31,33",12,11,22,27,29,31,33,12,"1,973,841,973","398,672,542"
26038,2026-04-07,"01,02,13,23,25,27",05,01,02,13,23,25,27,05,"1,933,841,973","382,309,000"
26039,2026-04-09,"08,17,18,21,25,30",05,08,17,18,21,25,30,05,"1,934,981,238","393,444,014"
26040,2026-04-12,"03,04,14,22,23,33",04,03,04,14,22,23,33,04,"1,869,981,238","421,923,472"
26041,2026-04-14,"02,08,10,17,19,24",13,02,08,10,17,19,24,13,"1,799,981,238","396,284,492"
26042,2026-04-16,"02,07,12,19,24,31",10,02,07,12,19,24,31,10,"1,729,981,238","400,801,534"
26043,2026-04-19,"06,09,14,16,25,32",16,06,09,14,16,25,32,16,"1,649,981,238","423,102,342"
26044,2026-04-21,"02,14,17,18,22,30",01,02,14,17,18,22,30,01,"1,619,981,238","395,282,770"
26045,2026-04-23,"04,11,15,17,24,30",15,04,11,15,17,24,30,15,"1,559,981,238","395,637,026"
