期号,开奖日期,红球,蓝球,红球号码1,红球号码2,红球号码3,红球号码4,红球号码5,红球号码6,蓝球号码1,总销售额,奖池余额
26104,2026-09-08,"11,12,13,19,20,31",03,11,12,13,19,20,31,03,"798,557,035","333,116,798"
26105,2026-09-10,"02,04,13,14,15,30",08,02,04,13,14,15,30,08,"833,007,469","333,874,688"
26106,2026-09-13,"06,11,13,14,22,30",14,06,11,13,14,22,30,14,"856,497,196","361,568,656"
26107,2026-09-15,"01,05,09,17,24,33",04,01,05,09,17,24,33,04,"858,528,126","328,194,638"
26108,2026-09-17,"06,11,13,14,20,28",16,06,11,13,14,20,28,16,"917,243,647","335,294,274"
